Applicant_Income,Coapplicant_Income,Age,Dependents,Credit_Score,Existing_Loans,DTI_Ratio,Savings,Collateral_Value,Loan_Amount,Loan_Term,Education_Level,Loan_Approved,Employment_Status_Salaried,Employment_Status_Self-employed,Employment_Status_Unemployed,Marital_Status_Single,Loan_Purpose_Car,Loan_Purpose_Education,Loan_Purpose_Home,Loan_Purpose_Personal,Property_Area_Semiurban,Property_Area_Urban,Gender_Male,Employer_Category_Government,Employer_Category_MNC,Employer_Category_Private,Employer_Category_Unemployed,DTI_Ratio_sq,Credit_Score_sq
17795.0,1387.0,51.0,0.0,637.0,4.0,0.53,19403.0,45638.0,16619.0,84.0,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.28090000000000004,405769.0
2860.0,2679.0,46.0,3.0,621.0,2.0,0.3,2580.0,49272.0,38687.0,48.0,0,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.09,385641.0
7390.0,2106.0,25.0,2.0,674.0,4.0,0.2,13844.0,6908.0,27943.0,72.0,0,1,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.04000000000000001,454276.0
13964.0,8173.0,40.0,2.0,579.0,3.0,0.31,9553.0,10844.0,27819.0,60.0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0961,335241.0
13284.0,4223.0,31.0,2.0,721.0,1.0,0.29,9386.0,37629.0,12741.0,72.0,0,1,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0841,519841.0
8265.0,4831.0,53.0,1.0,602.0,1.0,0.56,19522.0,2911.0,9798.0,36.0,0,0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.31360000000000005,362404.0
18850.0,2768.0,58.0,0.0,687.0,0.0,0.48,14635.0,8991.0,26143.0,24.0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.2304,471969.0
6426.0,3186.0,47.0,2.0,636.0,4.0,0.34726315789473683,671.0,11572.0,33747.0,84.0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.12059170083102493,404496.0
16423.0,5082.4557894736845,54.0,1.0,729.0,0.0,0.59,777.0,43066.0,34651.0,36.0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.34809999999999997,531441.0
13363.0,2599.0,35.0,3.0,726.0,1.0,0.34726315789473683,3022.0,29693.0,22182.0,60.0,0,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.12059170083102493,527076.0
18023.0,4033.0,52.0,2.0,688.0,1.0,0.13,18244.0,40004.0,10415.0,12.0,1,1,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.016900000000000002,473344.0
10322.0,8428.0,41.0,1.0,743.0,4.0,0.23,9940.452631578948,38333.0,12085.0,84.0,0,1,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0529,552049.0
3685.0,1304.0,25.0,2.0,735.0,3.0,0.32,13817.0,17493.0,16008.0,36.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.1024,540225.0
2769.0,7368.0,26.0,0.0,767.0,3.0,0.18,14260.0,39697.0,23102.0,72.0,0,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0324,588289.0
4433.0,5877.0,58.0,0.0,713.0,4.0,0.57,1074.0,24802.79263157895,19452.0,84.0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.32489999999999997,508369.0
7311.0,1301.0,42.0,3.0,710.0,4.0,0.48,9908.0,24561.0,9120.0,72.0,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.2304,504100.0
7051.0,2541.0,38.0,2.0,724.0,0.0,0.23,9475.0,18033.0,8820.0,48.0,0,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0529,524176.0
8420.0,2051.0,34.0,1.0,562.0,4.0,0.4,12878.0,7351.0,19170.0,48.0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.16000000000000003,315844.0
19568.0,6809.0,30.0,3.0,589.0,3.0,0.46,15120.0,25921.0,17259.0,48.0,1,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.2116,346921.0
8396.0,8633.0,33.0,2.0,638.0,1.9505263157894737,0.57,1986.0,19340.0,23099.0,84.0,0,0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.32489999999999997,407044.0
10666.0,8996.0,51.0,3.0,617.0,0.0,0.54,10825.0,14901.0,10649.0,12.0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.2916,380689.0
4747.0,74.0,50.0,1.0,591.0,0.0,0.36,9193.0,24802.79263157895,31255.0,60.0,0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.1296,349281.0
2189.0,6981.0,23.0,3.0,696.0,0.0,0.49,17430.0,38596.0,12805.0,84.0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.24009999999999998,484416.0
5005.0,5475.0,50.0,3.0,759.0,0.0,0.38,2176.0,21378.0,9744.0,24.0,0,1,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.1444,576081.0
3899.0,8232.0,26.0,3.0,778.0,1.9505263157894737,0.38,18722.0,44324.0,33305.0,72.0,0,0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.1444,605284.0
3267.0,5082.4557894736845,49.0,2.0,643.0,4.0,0.16,10047.0,22820.0,26857.0,72.0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0256,413449.0
19912.0,5796.0,28.0,1.0,568.0,1.0,0.16,16884.0,25060.0,11679.0,84.0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0256,322624.0
13394.0,7141.0,53.0,0.0,735.0,4.0,0.36,18617.0,32642.0,30829.0,84.0,1,1,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.1296,540225.0
5556.0,1622.0,37.0,1.4747368421052631,572.0,2.0,0.23,4608.0,25378.0,11985.0,60.0,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0529,327184.0
